FileName;Group;Genotype;Pain;ShortName
GSM2052371_1;Normal.Ninguno;Normal;Ninguno;N.N.1
GSM2052372_2;Normal.Ninguno;Normal;Ninguno;N.N.2
GSM2052373_3;Normal.Ninguno;Normal;Ninguno;N.N.3
GSM2052374_4;Normal.Ninguno;Normal;Ninguno;N.N.4
GSM2052375_5;Normal.Ninguno;Normal;Ninguno;N.N.5
GSM2052376_6;Normal.Ninguno;Normal;Ninguno;N.N.6
GSM2052377_7;Inflammed.Leve;Inflammed;Leve;I.L.1
GSM2052378_8;Inflammed.Leve;Inflammed;Leve;I.L.2
GSM2052379_9;Inflammed.Leve;Inflammed;Leve;I.L.3
GSM2052380_10;Inflammed.Severo;Inflammed;Severo;I.S.4
GSM2052381_11;Inflammed.Severo;Inflammed;Severo;I.S.5
GSM2052382_12;Inflammed.Severo;Inflammed;Severo;I.S.6
